Brute Force,Recursion,Stack,General Solution,Binary Trick
0.0008120536804199219,6.818771362304688e-05,4.1961669921875e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0008339881896972656,6.914138793945312e-05,2.6941299438476562e-05,8.106231689453125e-06,1.811981201171875e-05
0.0008108615875244141,7.390975952148438e-05,2.7894973754882812e-05,7.867813110351562e-06,1.0967254638671875e-05
0.0007960796356201172,7.200241088867188e-05,6.604194641113281e-05,6.9141387939453125e-06,1.1920928955078125e-05
0.0007948875427246094,6.985664367675781e-05,2.9802322387695312e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0008189678192138672,7.081031799316406e-05,2.9087066650390625e-05,8.344650268554688e-06,1.1920928955078125e-05
0.0008120536804199219,7.295608520507812e-05,2.8133392333984375e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0008409023284912109,7.224082946777344e-05,2.8133392333984375e-05,7.867813110351562e-06,1.0967254638671875e-05
0.000843048095703125,7.224082946777344e-05,2.8133392333984375e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0008597373962402344,7.295608520507812e-05,2.8848648071289062e-05,7.152557373046875e-06,1.1682510375976562e-05
0.0008628368377685547,7.486343383789062e-05,2.8848648071289062e-05,7.152557373046875e-06,1.2159347534179688e-05
0.0008940696716308594,7.390975952148438e-05,2.8848648071289062e-05,7.867813110351562e-06,1.2874603271484375e-05
0.0008409023284912109,7.867813110351562e-05,2.8848648071289062e-05,8.106231689453125e-06,1.0967254638671875e-05
0.0008499622344970703,7.605552673339844e-05,3.0040740966796875e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0008568763732910156,7.700920104980469e-05,2.9802322387695312e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0008740425109863281,7.82012939453125e-05,2.9802322387695312e-05,7.152557373046875e-06,1.2159347534179688e-05
0.0008819103240966797,7.772445678710938e-05,3.0994415283203125e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0008978843688964844,7.987022399902344e-05,3.0994415283203125e-05,7.867813110351562e-06,1.1682510375976562e-05
0.0008959770202636719,7.987022399902344e-05,3.0040740966796875e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0009481906890869141,7.987022399902344e-05,3.0994415283203125e-05,7.152557373046875e-06,1.3113021850585938e-05
0.0009441375732421875,8.416175842285156e-05,4.506111145019531e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0009601116180419922,8.130073547363281e-05,3.695487976074219e-05,7.867813110351562e-06,1.3113021850585938e-05
0.0009620189666748047,8.225440979003906e-05,3.1948089599609375e-05,8.106231689453125e-06,1.1920928955078125e-05
0.00092315673828125,8.20159912109375e-05,3.1948089599609375e-05,8.106231689453125e-06,1.2159347534179688e-05
0.0009179115295410156,8.392333984375e-05,3.1948089599609375e-05,7.867813110351562e-06,1.3113021850585938e-05
0.0009419918060302734,8.487701416015625e-05,3.2901763916015625e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0009362697601318359,8.392333984375e-05,3.314018249511719e-05,8.106231689453125e-06,1.3113021850585938e-05
0.0009691715240478516,8.416175842285156e-05,3.314018249511719e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0009701251983642578,8.58306884765625e-05,3.2901763916015625e-05,8.106231689453125e-06,1.3113021850585938e-05
0.0009799003601074219,8.511543273925781e-05,3.2901763916015625e-05,7.867813110351562e-06,1.1920928955078125e-05
0.0009839534759521484,8.58306884765625e-05,3.3855438232421875e-05,7.867813110351562e-06,1.2159347534179688e-05
0.0010139942169189453,8.702278137207031e-05,3.409385681152344e-05,8.106231689453125e-06,1.2874603271484375e-05
0.001026153564453125,9.417533874511719e-05,3.504753112792969e-05,8.106231689453125e-06,1.2159347534179688e-05
0.001035928726196289,9.107589721679688e-05,3.4809112548828125e-05,7.867813110351562e-06,1.3113021850585938e-05
