,BruteForce,CoprimeDecomposition,GeneralSolution,BinaryTrick
68,0.0127410888671875,0.0072879791259765625,0.0003299713134765625,0.0006320476531982422
69,0.012819766998291016,0.00755000114440918,0.0003330707550048828,0.0006401538848876953
70,0.012895822525024414,0.00781393051147461,0.0003371238708496094,0.0006480216979980469
71,0.012975931167602539,0.00807499885559082,0.0003409385681152344,0.0006558895111083984
72,0.013054847717285156,0.008337974548339844,0.00034499168395996094,0.0006642341613769531
73,0.013136148452758789,0.008598804473876953,0.00034809112548828125,0.0006721019744873047
74,0.013217926025390625,0.008862972259521484,0.00035190582275390625,0.0006799697875976562
75,0.013299942016601562,0.009124040603637695,0.0003559589385986328,0.0006880760192871094
76,0.013383150100708008,0.009387016296386719,0.0003590583801269531,0.0006961822509765625
77,0.013466119766235352,0.009652137756347656,0.0003628730773925781,0.0007040500640869141
