,Solution
793,563.0
794,565.0
795,567.0
796,569.0
797,571.0
798,573.0
799,575.0
800,577.0
801,579.0
802,581.0
803,583.0
804,585.0
805,587.0
806,589.0
807,591.0
808,593.0
809,595.0
810,597.0
811,599.0
812,601.0
813,603.0
814,605.0
815,607.0
816,609.0
817,611.0
818,613.0
819,615.0
820,617.0
821,619.0
822,621.0
823,623.0
824,625.0
825,627.0
826,629.0
827,631.0
828,633.0
829,635.0
830,637.0
831,639.0
832,641.0
833,643.0
834,645.0
835,647.0
836,649.0
837,651.0
838,653.0
839,655.0
840,657.0
841,659.0
842,661.0
843,663.0
844,665.0
845,667.0
846,669.0
847,671.0
848,673.0
849,675.0
850,677.0
851,679.0
852,681.0
853,683.0
854,685.0
855,687.0
856,689.0
857,691.0
858,693.0
859,695.0
860,697.0
861,699.0
862,701.0
863,703.0
864,705.0
865,707.0
866,709.0
867,711.0
868,713.0
869,715.0
870,717.0
871,719.0
872,721.0
873,723.0
874,725.0
875,727.0
876,729.0
877,731.0
878,733.0
879,735.0
880,737.0
881,739.0
882,741.0
883,743.0
884,745.0
885,747.0
886,749.0
887,751.0
888,753.0
889,755.0
890,757.0
891,759.0
892,761.0
893,763.0
894,765.0
895,767.0
896,769.0
897,771.0
898,773.0
899,775.0
